titulo,especificacoes,categoria,caracteristicas,vantagens,sobre o produto,imagem,link
Válvula de Pé com Crivo,CCB: 98930 | Bitola: 25 MM | Embalagem: 5 | CCB: 98931 | Bitola: 32 MM | Embalagem: 5 | ,produtos|predial|agua-fria|amanco-soldavel|valvula-de-pe-com-crivo,"Atende norma NBR 5648,Disponível nos diâmetros de 25 e 32 mm,suporta pressão de serviço de até 750 kPa, (7,5 kgf/cm² ou 75 m.c.a.).","Rapidez na execução das juntas soldáveis,Solda com Adesivo Plástico ou Adesivo Plástico Extra Forte.","A linha Amanco Soldável é um sistema em PVC para condução de água fria com portfólio completo para atender todos os projetos, utilizada em obras residenciais, comerciais e industriais. Aplicada em instalações de água fria permanentes e embutidas.",http://assets.production.amanco.com.br.s3.amazonaws.com/uploads/image/file/3357/medium_VALVULA-DE-PE-COM-CRIVO-CCB-98932-HR.jpg,http://amanco.com.br/produtos/predial/agua-fria/amanco-soldavel/valvula-de-pe-com-crivo
Tê,SCB: 10206 | CCB: 11831 | Embalagem: 20 | Bitola: 1/2'' | SCB: 11833 | CCB: 20 | Embalagem: 3/4'' | Bitola: 11828 | SCB: 16 | CCB: 1'' | Embalagem: 11830 | Bitola: 12 | SCB: 1 1/4'' | CCB: 11829 | Embalagem: 10 | Bitola: 1 1/2'' | ,produtos|predial|agua-fria|amanco-roscavel|te-cb51eda1-ee50-4a1d-ae62-251f38a3b6a9,"Fabricado na cor branca,disponível nos diâmetros de ½, ¾, 1, 1 ¼, 1 ½ e 2 (referencial),Suporta pressão de serviço de até 750 kPa (7,5 kgf/cm² ou 75 m.c.a.), à temperatura de 20°C","Facilidade no desmontar ou remanejar a instalação, em casos de redes provisórias","A Linha Amanco Roscável pode ser utilizada em todos os tipos e padrões de obra residencial, comercial e industrial. Aplicado em instalações de água fria, instalações provisórias ou em locais que necessitem ser desmontados com frequência. Possui espessuras de paredes maiores que seus equivalentes da Linha Amanco Soldável, justamente para a confecção da abertura da rosca.",http://assets.production.amanco.com.br.s3.amazonaws.com/uploads/image/file/1913/medium_TE-ROSCAVEL-CCB-11831-11833-11828-11830-11829-11832-WEB.jpg,http://amanco.com.br/produtos/predial/agua-fria/amanco-roscavel/te-cb51eda1-ee50-4a1d-ae62-251f38a3b6a9
Tê,CCB: 11842 | Embalagem: 24 | Bitola: 20 mm x 1/2'' | CCB: 11844 | Embalagem: 24 | Bitola: 25 mm x 3/4'' | CCB: 11843 | Embalagem: 24 | Bitola: 25 mm x 1/2'' | ,produtos|predial|agua-fria|amanco-soldavel|te-9dd3f9ac-b431-4cac-84c4-73a0a5ddb688,"Atende norma NBR 5648,Disponível nos diâmetros de 20, 25, 32, 40, 50, 60, 75, 85 e 110 mm,suporta pressão de serviço de até 750 kPa, (7,5 kgf/cm² ou 75 m.c.a.).","Rapidez na execução das juntas soldáveis,Solda com Adesivo Plástico ou Adesivo Plástico Extra Forte.","A linha Amanco Soldável é um sistema em PVC para condução de água fria com portfólio completo para atender todos os projetos, utilizada em obras residenciais, comerciais e industriais. Aplicada em instalações de água fria permanentes e embutidas.",http://assets.production.amanco.com.br.s3.amazonaws.com/uploads/image/file/2760/medium_TE-SOLDAVEL-COM-BUCHA-DE-LATAO-CCB-11842-11844-11843-WEB.jpg,http://amanco.com.br/produtos/predial/agua-fria/amanco-soldavel/te-9dd3f9ac-b431-4cac-84c4-73a0a5ddb688
União,CCB: 11869 | Embalagem: 20 | Bitola: 1/2'' | CCB: 11871 | Embalagem: 20 | Bitola: 3/4'' | CCB: 11866 | Embalagem: 10 | Bitola: 1'' | CCB: 11868 | Embalagem: 8 | Bitola: 1 1/4'' | CCB: 11867 | Embalagem: 10 | Bitola: 1 1/2'' | CCB: 11870 | Embalagem: 5 | Bitola: 2'' | ,produtos|predial|agua-fria|amanco-roscavel|uniao-7a37d7eb-e961-49b4-b18b-6373ec0dc151,"Fabricado na cor branca,disponível nos diâmetros de ½, ¾, 1, 1 ¼, 1 ½ e 2 (referencial),Suporta pressão de serviço de até 750 kPa (7,5 kgf/cm² ou 75 m.c.a.), à temperatura de 20°C","Facilidade no desmontar ou remanejar a instalação, em casos de redes provisórias","A Linha Amanco Roscável pode ser utilizada em todos os tipos e padrões de obra residencial, comercial e industrial. Aplicado em instalações de água fria, instalações provisórias ou em locais que necessitem ser desmontados com frequência. Possui espessuras de paredes maiores que seus equivalentes da Linha Amanco Soldável, justamente para a confecção da abertura da rosca.",http://assets.production.amanco.com.br.s3.amazonaws.com/uploads/image/file/1915/medium_UNIAO-ROSCAVEL-CCB-11869-11871-11866-11868-11867-11870-WEB.jpg,http://amanco.com.br/produtos/predial/agua-fria/amanco-roscavel/uniao-7a37d7eb-e961-49b4-b18b-6373ec0dc151
Tubo de PVC,CCB: 10463 | Embalagem: 10 | Bitola: 1/2 | Comprimento: 6m | CCB: 10464 | Embalagem: 10 | Bitola: 3/4 | Comprimento: 6m | CCB: 10465 | Embalagem: 5 | Bitola: 1 | Comprimento: 6m | CCB: 10466 | Embalagem: 5 | Bitola: 1 1/4 | Comprimento: 6m | CCB: 10467 | Embalagem: 5 | Bitola: 1 1/2 | Comprimento: 6m | CCB: 10468 | Embalagem: 3 | Bitola: 2 | Comprimento: 6m | ,produtos|predial|agua-fria|amanco-roscavel|tubo-de-pvc-1aae2157-e5c8-4b8b-b725-02461ec42811,"Fabricado na cor branca,disponível nos diâmetros de ½, ¾, 1, 1 ¼, 1 ½ e 2 (referencial),Suporta pressão de serviço de até 750 kPa (7,5 kgf/cm² ou 75 m.c.a.), à temperatura de 20°C","Facilidade no desmontar ou remanejar a instalação, em casos de redes provisórias","A Linha Amanco Roscável pode ser utilizada em todos os tipos e padrões de obra residencial, comercial e industrial. Aplicado em instalações de água fria, instalações provisórias ou em locais que necessitem ser desmontados com frequência. Possui espessuras de paredes maiores que seus equivalentes da Linha Amanco Soldável, justamente para a confecção da abertura da rosca.",http://assets.production.amanco.com.br.s3.amazonaws.com/uploads/image/file/1899/medium_TUBO-DE-PVC-ROSCAVEL-CCB-10463-10464-10465-10466-10467-10468-WEB.jpg,http://amanco.com.br/produtos/predial/agua-fria/amanco-roscavel/tubo-de-pvc-1aae2157-e5c8-4b8b-b725-02461ec42811
União,SCB: 11873 | CCB: 20 | Embalagem: 20 mm | Bitola: 11874 | SCB: 20 | CCB: 25 mm | Embalagem: 11875 | Bitola: 10 | SCB: 32 mm | CCB: 11876 | Embalagem: 10 | Bitola: 40 mm | SCB: 11877 | CCB: 10 | Embalagem: 50 mm | Bitola: 11878 | SCB: 5 | CCB: 60 mm | Embalagem: 11879 | Bitola: 4 | SCB: 75 mm | CCB: 11880 | Embalagem: 3 | Bitola: 85 mm | ,produtos|predial|agua-fria|amanco-soldavel|uniao,"Atende norma NBR 5648,Disponível nos diâmetros de 20, 25, 32, 40, 50, 60, 75, 85 e 110 mm,suporta pressão de serviço de até 750 kPa, (7,5 kgf/cm² ou 75 m.c.a.).","Rapidez na execução das juntas soldáveis,Solda com Adesivo Plástico ou Adesivo Plástico Extra Forte.","A linha Amanco Soldável é um sistema em PVC para condução de água fria com portfólio completo para atender todos os projetos, utilizada em obras residenciais, comerciais e industriais. Aplicada em instalações de água fria permanentes e embutidas.",http://assets.production.amanco.com.br.s3.amazonaws.com/uploads/image/file/2754/medium_UNIAO-SOLDAVEL-CCB-11873-11874-11875-11876-11877-11878-11879-11880-11872-WEB.jpg,http://amanco.com.br/produtos/predial/agua-fria/amanco-soldavel/uniao
Tubo de PVC,CCB: 10087 | Embalagem: 10 | Bitola: 20 mm | Comprimento: 3m | Outros: Ponta Ponta | CCB: 10088 | Embalagem: 8 | Bitola: 25 mm | Comprimento: 3m | Outros: Ponta Ponta | CCB: 10089 | Embalagem: 5 | Bitola: 32 mm | Comprimento: 3m | Outros: Ponta Ponta | CCB: 10090 | Embalagem: 5 | Bitola: 40 mm | Comprimento: 3m | Outros: Ponta Ponta | CCB: 10091 | Embalagem: 5 | Bitola: 50 mm | Comprimento: 3m | Outros: Ponta Ponta | CCB: 11466 | Embalagem: 3 | Bitola: 60 mm | Comprimento: 3m | Outros: Ponta Ponta | CCB: 11467 | Embalagem: 3 | Bitola: 75 mm | Comprimento: 3m | Outros: Ponta Ponta | CCB: 11468 | Embalagem: 3 | Bitola: 85 mm | Comprimento: 3m | Outros: Ponta Ponta | CCB: 11465 | Embalagem: 1 | Bitola: 110 mm | Comprimento: 3m | Outros: Ponta Ponta | CCB: 10457 | Embalagem: 10 | Bitola: 20 mm | Comprimento: 6m | Outros: Ponta Bolsa | CCB: 10458 | Embalagem: 8 | Bitola: 25 mm | Comprimento: 6m | Outros: Ponta Bolsa | CCB: 10459 | Embalagem: 5 | Bitola: 32 mm | Comprimento: 6m | Outros: Ponta Bolsa | CCB: 10460 | Embalagem: 5 | Bitola: 40 mm | Comprimento: 6m | Outros: Ponta Bolsa | CCB: 10461 | Embalagem: 5 | Bitola: 50 mm | Comprimento: 6m | Outros: Ponta Bolsa | CCB: 10462 | Embalagem: 3 | Bitola: 60 mm | Comprimento: 6m | Outros: Ponta Bolsa | CCB: 10003 | Embalagem: 3 | Bitola: 75 mm | Comprimento: 6m | Outros: Ponta Bolsa | CCB: 10004 | Embalagem: 3 | Bitola: 85 mm | Comprimento: 6m | Outros: Ponta Bolsa | CCB: 10005 | Embalagem: 1 | Bitola: 110 mm | Comprimento: 6m | Outros: Ponta Bolsa | CCB: 16187 | Embalagem: 10 | Bitola: 20 mm | Comprimento: 3m | Outros: Ponta Bolsa | CCB: 16188 | Embalagem: 8 | Bitola: 25 mm | Comprimento: 3m | Outros: Ponta Bolsa | CCB: 16189 | Embalagem: 5 | Bitola: 32 mm | Comprimento: 3m | Outros: Ponta Bolsa | CCB: 16190 | Embalagem: 5 | Bitola: 40 mm | Comprimento: 3m | Outros: Ponta Bolsa | CCB: 16191 | Embalagem: 5 | Bitola: 50 mm | Comprimento: 3m | Outros: Ponta Bolsa | CCB: 16192 | Embalagem: 3 | Bitola: 60 mm | Comprimento: 3m | Outros: Ponta Bolsa | ,produtos|predial|agua-fria|amanco-soldavel|tubo-de-pvc,"Atende norma NBR 5648,Disponível nos diâmetros de 20, 25, 32, 40, 50, 60, 75, 85 e 110 mm,suporta pressão de serviço de até 750 kPa, (7,5 kgf/cm² ou 75 m.c.a.).","Rapidez na execução das juntas soldáveis,Solda com Adesivo Plástico ou Adesivo Plástico Extra Forte.","A linha Amanco Soldável é um sistema em PVC para condução de água fria com portfólio completo para atender todos os projetos, utilizada em obras residenciais, comerciais e industriais. Aplicada em instalações de água fria permanentes e embutidas.",http://assets.production.amanco.com.br.s3.amazonaws.com/uploads/image/file/2735/medium_TUBO-DE-PVC-SOLDAVEL-CCB-10004-10005-WEB.jpg,http://amanco.com.br/produtos/predial/agua-fria/amanco-soldavel/tubo-de-pvc
Tê de Redução,CCB: 11820 | Embalagem: 16 | Bitola: 3/4'' x 1/2'' | CCB: 11819 | Embalagem: 16 | Bitola: 1'' x 3/4'' | CCB: 11818 | Embalagem: 8 | Bitola: 1 1/2'' x 3/4'' | ,produtos|predial|agua-fria|amanco-roscavel|te-de-reducao-767d9e8e-a41b-4dea-bc58-f9f5307fa313,"Fabricado na cor branca,disponível nos diâmetros de ½, ¾, 1, 1 ¼, 1 ½ e 2 (referencial),Suporta pressão de serviço de até 750 kPa (7,5 kgf/cm² ou 75 m.c.a.), à temperatura de 20°C","Facilidade no desmontar ou remanejar a instalação, em casos de redes provisórias","A Linha Amanco Roscável pode ser utilizada em todos os tipos e padrões de obra residencial, comercial e industrial. Aplicado em instalações de água fria, instalações provisórias ou em locais que necessitem ser desmontados com frequência. Possui espessuras de paredes maiores que seus equivalentes da Linha Amanco Soldável, justamente para a confecção da abertura da rosca.",http://assets.production.amanco.com.br.s3.amazonaws.com/uploads/image/file/1914/medium_TE-DE-REDUCAO-ROSCAVEL-CCB-11820-11819-11818-WEB.jpg,http://amanco.com.br/produtos/predial/agua-fria/amanco-roscavel/te-de-reducao-767d9e8e-a41b-4dea-bc58-f9f5307fa313
Tê de Redução,CCB: 11821 | Bitola: 25mm x 20mm | Embalagem: 24 | CCB: 11822 | Bitola: 32mm x 25mm | Embalagem: 20 | CCB: 11823 | Bitola: 40mm x 25mm | Embalagem: 10 | CCB: 11824 | Bitola: 40mm x 32mm | Embalagem: 10 | CCB: 11825 | Bitola: 50mm x 25mm | Embalagem: 10 | CCB: 11826 | Bitola: 50mm x 32mm | Embalagem: 6 | CCB: 11827 | Bitola: 50mm x 40mm | Embalagem: 6 | CCB: 17848 | Bitola: 50mm x 20mm | Embalagem: 10 | CCB: 17849 | Bitola: 60mm x 25mm | Embalagem: 10 | CCB: 98894 | Bitola: 60mm x 50mm | Embalagem: 3 | CCB: 17850 | Bitola: 75mm x 50mm | Embalagem: 5 | CCB: 17851 | Bitola: 75mm x 60mm | Embalagem: 4 | CCB: 17852 | Bitola: 85mm x 60mm | Embalagem: 2 | CCB: 17853 | Bitola: 85mm x 75mm | Embalagem: 3 | CCB: 17854 | Bitola: 110mm x 60mm | Embalagem: 1 | CCB: 17855 | Bitola: 110mm x 75mm | Embalagem: 1 | ,produtos|predial|agua-fria|amanco-soldavel|te-de-reducao,"Atende norma NBR 5648,Disponível nos diâmetros de 20, 25, 32, 40, 50, 60, 75, 85 e 110 mm,suporta pressão de serviço de até 750 kPa, (7,5 kgf/cm² ou 75 m.c.a.).","Rapidez na execução das juntas soldáveis,Solda com Adesivo Plástico ou Adesivo Plástico Extra Forte.","A linha Amanco Soldável é um sistema em PVC para condução de água fria com portfólio completo para atender todos os projetos, utilizada em obras residenciais, comerciais e industriais. Aplicada em instalações de água fria permanentes e embutidas.",http://assets.production.amanco.com.br.s3.amazonaws.com/uploads/image/file/2753/medium_TE-DE-REDUCAO-SOLDAVEL-CCB-11821-11822-11823-11824-11825-11826-11827-17848-WEB.jpg,http://amanco.com.br/produtos/predial/agua-fria/amanco-soldavel/te-de-reducao
Registro de Esfera em PVC,CCB: 11787 | Embalagem: 2 | Bitola: 1 1/2'' | CCB: 11786 | Embalagem: 5 | Bitola: 1'' | CCB: 11791 | Embalagem: 10 | Bitola: 3/4'' | CCB: 11790 | Embalagem: 2 | Bitola: 2'' | CCB: 11789 | Embalagem: 10 | Bitola: 1/2'' | CCB: 11788 | Embalagem: 5 | Bitola: 1 1/4'' | ,produtos|predial|agua-fria|amanco-roscavel|registro-de-esfera-em-pvc-f70e94a5-139f-47c5-b093-243b6219c733,"Fabricado na cor branca,disponível nos diâmetros de ½, ¾, 1, 1 ¼, 1 ½ e 2 (referencial),Suporta pressão de serviço de até 750 kPa (7,5 kgf/cm² ou 75 m.c.a.), à temperatura de 20°C","Facilidade no desmontar ou remanejar a instalação, em casos de redes provisórias","A Linha Amanco Roscável pode ser utilizada em todos os tipos e padrões de obra residencial, comercial e industrial. Aplicado em instalações de água fria, instalações provisórias ou em locais que necessitem ser desmontados com frequência. Possui espessuras de paredes maiores que seus equivalentes da Linha Amanco Soldável, justamente para a confecção da abertura da rosca.",http://assets.production.amanco.com.br.s3.amazonaws.com/uploads/image/file/1916/medium_REGISTRO-DE-ESFERA-ROSCAVEL-CCB-11789-11791-11786-11788-11787-11790-WEB_MARROM.jpg,http://amanco.com.br/produtos/predial/agua-fria/amanco-roscavel/registro-de-esfera-em-pvc-f70e94a5-139f-47c5-b093-243b6219c733
