titulo,especificacoes,categoria,caracteristicas,vantagens,sobre o produto,imagem,link
Abraçadeira,CCB: 11517 | Bitola: DN100 | Embalagem: 10 | ,produtos|predial|captacao-pluvial|calha-pluvial|abracadeira-8dc10f5c-df61-469b-b14f-3e11b9bb903c,"Fabricado em PVC,Capacidade de vazão de 533 l/min, para declividade mínima de 0,5%,União das partes feita por encaixe.","Fabricada em PVC - não sofre corrosão - maior durabilidade,Leves, de instalalação simples e fácil manutenção,Facilidade de limpeza,Resisência contra os raios UV,Pode ser pintada, adequando-se à estética da fachada da construção,Protege as edificações da umidade excessiva,Possibilitam a captação de água de chuva, canalizando-a e destinando-a aos sistema coletor de águas pluviais.","A linha Amanco Calhas
Pluviais é um sistema de captação de água pluvial (água de chuva), composto por
perfis, condutores e conexões para captação de águas pluviais em coberturas.",http://assets.production.amanco.com.br.s3.amazonaws.com/uploads/image/file/3373/medium_ABRACADEIRA-CCB-11517-MR.png,http://amanco.com.br/produtos/predial/captacao-pluvial/calha-pluvial/abracadeira-8dc10f5c-df61-469b-b14f-3e11b9bb903c
Cura de Concreto,"CCB: 20099 | Medidas: 2,10 x 100 | ",produtos|predial|areas-externas|bidim|cura-de-concreto,"Composição: base nãotecido, 100% Poliéster, com filme de polietileno aderido e perfurado,Bobina de 2,10m x 100m, com 21kg","Consumo 65% menor de água na cura;,Economia mai de 90% em mão de obra -  se utilizado em conjunto com o kit de de rega automática Amanco;,Reduz o custo com cura de laje em 45%;,Reutilizável por 3 vezes ou mais;,Diminui a quantidade de resíduos na obra;,Não mancha a laje, nem solta os fios ou filamentos","Especialmente desenvolvido para cura úmida de concoreto, Amanco Cura de Concreto reduz o consumo de água e o custo total da obra, oferecendo mais qualidade e segurança à construção. ",http://amanco.com.br/assets/fallbacks/image_file_medium-892862ffa4903c19bd398bc9845be9c58a3dd58db6667551dd1e4ddd0e6a8225.png,http://amanco.com.br/produtos/predial/areas-externas/bidim/cura-de-concreto
Enrolador de Mangueira Fixo,CCB: 98635 | Embalagem: 1 | Bitola: ½ | ,produtos|predial|areas-externas|jardim|enrolador-de-mangueira-fixo-d0c72c0e-74a1-4ecc-8992-eddcb715061e,"Bitola: ½,Pressão: 0,5 bar até 3,0 bar,Resistente à corrosão,Resistente aos raios UV,Encaixe por Engate Rápido (ER).","Praticidade para rega programada, promovendo economia de água,Versátil, possui produtos para as necessidades de irrigação domésticas,Fácil de montar,Design arredondado que evita danos ao jardim.","A Amanco leva a inovação para o mercado de jardinagem, e lança a linha para irrigação doméstica Amanco Jardim.São produtos utilizados no cuidado e manutenção de áreas verdes residenciais, jardins de condomínios, clubes, ginásios, tudo com a qualidade já reconhecida Amanco.",http://assets.production.amanco.com.br.s3.amazonaws.com/uploads/image/file/2538/medium_7891960854283.jpg,http://amanco.com.br/produtos/predial/areas-externas/jardim/enrolador-de-mangueira-fixo-d0c72c0e-74a1-4ecc-8992-eddcb715061e
Enrolador de Mangueira Portátil,CCB: 98634 | Embalagem: 1 | Bitola: ½ | ,produtos|predial|areas-externas|jardim|enrolador-de-mangueira-portatil-881115cc-9c5b-4d6d-a5cf-c27d604f4cf8,"Bitola: ½,Pressão: 0,5 bar até 3,0 bar,Resistente à corrosão,Resistente aos raios UV,Encaixe por Engate Rápido (ER).","Praticidade para rega programada, promovendo economia de água,Versátil, possui produtos para as necessidades de irrigação domésticas,Fácil de montar,Design arredondado que evita danos ao jardim.","A Amanco leva a inovação para o mercado de jardinagem, e lança a linha para irrigação doméstica Amanco Jardim.São produtos utilizados no cuidado e manutenção de áreas verdes residenciais, jardins de condomínios, clubes, ginásios, tudo com a qualidade já reconhecida Amanco.",http://assets.production.amanco.com.br.s3.amazonaws.com/uploads/image/file/2537/medium_7891960854306.jpg,http://amanco.com.br/produtos/predial/areas-externas/jardim/enrolador-de-mangueira-portatil-881115cc-9c5b-4d6d-a5cf-c27d604f4cf8
Conector Y de Derivação,CCB: 98646 | Embalagem: 8 | Bitola: ½ | ,produtos|predial|areas-externas|jardim|conector-y-de-derivacao-58165902-351c-4c6b-aa49-0f7fe21076be,"Bitola: ½,Pressão: 0,5 bar até 3,0 bar,Resistente à corrosão,Resistente aos raios UV,Encaixe por Engate Rápido (ER).","Praticidade para rega programada, promovendo economia de água,Versátil, possui produtos para as necessidades de irrigação domésticas,Fácil de montar,Design arredondado que evita danos ao jardim.","A Amanco leva a inovação para o mercado de jardinagem, e lança a linha para irrigação doméstica Amanco Jardim.São produtos utilizados no cuidado e manutenção de áreas verdes residenciais, jardins de condomínios, clubes, ginásios, tudo com a qualidade já reconhecida Amanco.",http://assets.production.amanco.com.br.s3.amazonaws.com/uploads/image/file/2528/medium_CONECTOR-Y-DE-DERIVACAO-CCB-98646-WEB.jpg,http://amanco.com.br/produtos/predial/areas-externas/jardim/conector-y-de-derivacao-58165902-351c-4c6b-aa49-0f7fe21076be
Ducha,"CCB: 11579 | Embalagem: 20 | Bitola: 1/2"" | ",produtos|predial|areas-externas|ducha|ducha,"Produto para água fria;,Destinado a áreas externas;,Sino fabricado em polipropileno e peneira fabricada em polietileno de alta densidade.","Maior vazão;,Fácil instalação;,Mais conforto para o seu banho.","Destinada a áreas externas, a linha de ducha Amanco proporciona maior vazão e mais conforto para o seu banho. É ideal para remover o cloro ou impurezas do corpo após um banho de piscina ou mar. ",http://assets.production.amanco.com.br.s3.amazonaws.com/uploads/image/file/3386/medium_ducha.png,http://amanco.com.br/produtos/predial/areas-externas/ducha/ducha
Esguicho 8 Jatos,CCB: 98640 | Embalagem: 16 | Bitola: ½ | ,produtos|predial|areas-externas|jardim|esguicho-8-jatos-4f58bce7-81a3-40e5-be0c-da23a055b85b,"Bitola: ½,Pressão: 0,5 bar até 3,0 bar,Resistente à corrosão,Resistente aos raios UV,Encaixe por Engate Rápido (ER).","Praticidade para rega programada, promovendo economia de água,Versátil, possui produtos para as necessidades de irrigação domésticas,Fácil de montar,Design arredondado que evita danos ao jardim.","A Amanco leva a inovação para o mercado de jardinagem, e lança a linha para irrigação doméstica Amanco Jardim.São produtos utilizados no cuidado e manutenção de áreas verdes residenciais, jardins de condomínios, clubes, ginásios, tudo com a qualidade já reconhecida Amanco.",http://assets.production.amanco.com.br.s3.amazonaws.com/uploads/image/file/2532/medium_ESGUICHO-8-JATOS-CCB-98640-WEB.jpg,http://amanco.com.br/produtos/predial/areas-externas/jardim/esguicho-8-jatos-4f58bce7-81a3-40e5-be0c-da23a055b85b
DRENASOLO,"CCB: 20100 | Medida: 2,30 x 100 | ",produtos|predial|areas-externas|bidim|drenasolo,"Composição: 100% Poliéster,Bobina de 2,30m x 100m, com 30kg,Cor: Cinza","Fabricado sob rigorosos ,padrões de internacionais de qualidade;,Conta com certificação ISO 9001,Aprovado no PBPQ-H Programa Brasileiro de Qualidade e Produtividade do Habitat",Amanco DrenaSolo impede a ocorrência de umidade nas paredes das casas já existentes e retira a umidade do solo nas construções novas evitado que ela cegue à fundação. É garantia e segurança para o imóvel.,http://amanco.com.br/assets/fallbacks/image_file_medium-892862ffa4903c19bd398bc9845be9c58a3dd58db6667551dd1e4ddd0e6a8225.png,http://amanco.com.br/produtos/predial/areas-externas/bidim/drenasolo
Esguicho 1 Jato,CCB: 98639 | Embalagem: 16 | Bitola: ½ | ,produtos|predial|areas-externas|jardim|esguicho-1-jato-a8927002-0fbf-448f-9647-6056a9c25173,"Bitola: ½,Pressão: 0,5 bar até 3,0 bar,Resistente à corrosão,Resistente aos raios UV,Encaixe por Engate Rápido (ER).","Praticidade para rega programada, promovendo economia de água,Versátil, possui produtos para as necessidades de irrigação domésticas,Fácil de montar,Design arredondado que evita danos ao jardim.","A Amanco leva a inovação para o mercado de jardinagem, e lança a linha para irrigação doméstica Amanco Jardim.São produtos utilizados no cuidado e manutenção de áreas verdes residenciais, jardins de condomínios, clubes, ginásios, tudo com a qualidade já reconhecida Amanco.",http://assets.production.amanco.com.br.s3.amazonaws.com/uploads/image/file/2531/medium_ESGUICHO-1-JATO-CCB-98639-WEB.jpg,http://amanco.com.br/produtos/predial/areas-externas/jardim/esguicho-1-jato-a8927002-0fbf-448f-9647-6056a9c25173
União de Redução Interna,CCB: 90572 | Embalagem: 25 | Bitola: 1 x 3/4 | CCB: 11939 | Embalagem: 25 | Bitola: 3/4 x 1/2 | ,produtos|predial|areas-externas|jardim|uniao-de-reducao-interna-4188075a-9c6a-40e4-a25c-4af76c0c5252,,,"As conexões de polietileno são aplicadas em sistemas de jardinagem, com a fialidade de extensão ou ramifiação. Em conjunto com mangueiras de polietileno e a linha Amanco Jardim, formam um sistema capaz de alimentar pocilgas, tanques de piscicultura, aviários, estufas e outras estruturas rurais que não necessitem de alta pressão para sua alimentação.",http://assets.production.amanco.com.br.s3.amazonaws.com/uploads/image/file/2550/medium_UNIAO-DE-REDUCAO-INTERNA-CCB-11939-90572-WEB.jpg,http://amanco.com.br/produtos/predial/areas-externas/jardim/uniao-de-reducao-interna-4188075a-9c6a-40e4-a25c-4af76c0c5252
Adaptador Cerâmico,CCB: 93879 | Embalagem: 1 | Bitola: DN 150 x DN 150 | CCB: 93880 | Embalagem: 1 | Bitola: DN 200 x DN 200 | CCB: 93881 | Embalagem: 1 | Bitola: DN 250 x DN 250 | ,produtos|infraestrutura|saneamento-esgoto|corrugado|adaptador-ceramico,"As conexões Amanco para Coletores de Esgoto são fabricadas conforme norma NBR 10569,Produto fornecido com Junta Elástica Integrada (JEI), com composto nitrílico
(NBR),
,Cor: Ocre","Excelente Desempenho Hidráulico,Total Estanqueidade,Alta Durabilidade,Compatibilidade de Diâmetro,Resistência à Pressão Hidrostática.","As conexões Amanco Coletor,
Amanco Coletor Corrugado e Amanco Coletor CL destinam-se à aplicação em redes
coletoras de esgoto doméstico e escoamento de resíduos industriais e águas
pluviais.",http://assets.production.amanco.com.br.s3.amazonaws.com/uploads/image/file/3200/medium_ADAPTADOR-CERAMICO-CCB-93879-93880-93881-WEB.jpg,http://amanco.com.br/produtos/infraestrutura/saneamento-esgoto/corrugado/adaptador-ceramico
União de Pressão,CCB: 16533 | Embalagem: 5 | Bitola: DN 20 | ,produtos|infraestrutura|ligacao-predial|ramalfort|uniao-de-pressao,"Composto de polipropileno (PP), Diâmetros de
20 mm,Pressão de
serviço de 1,6 MPa","Alta
Durabilidade,Praticidade,Eficiente","As conexões
de pressão são destinadas à instalação de sistemas para ligação dos ramais
prediais de água, trecho compreendido entre o ponto de derivação da rede de
distribuição de água e o kit cavalete (ou unidade de medição e controle) de uma
residência. Essas peças são utilizadas por empresas públicas e privadas
responsáveis pela instalação e manutenção deste sistema. Podem também ser
aplicadas em redes de ramais prediais de condomínios.",http://assets.production.amanco.com.br.s3.amazonaws.com/uploads/image/file/2894/medium_UNIAO-DE-PRESSAO-CCB-16533-WEB.jpg,http://amanco.com.br/produtos/infraestrutura/ligacao-predial/ramalfort/uniao-de-pressao
União Interna,"CCB: 11862 | Embalagem: 50 | Bitola: 3/4"" | CCB: 11857 | Embalagem: 25 | Bitola: 1"" | CCB: 11859 | Embalagem: 10 | Bitola: 1 1/4"" | CCB: 11858 | Embalagem: 10 | Bitola: 1 1/2"" | CCB: 11861 | Embalagem: 10 | Bitola: 2"" | CCB: 90628 | Embalagem: 50 | Bitola: 3/8"" | CCB: 11860 | Embalagem: 50 | Bitola: 1/2"" | ",produtos|predial|areas-externas|jardim|uniao-interna-748c17b0-f9c0-4ed9-884a-6233b6eb174f,,,"As conexões de polietileno são aplicadas em sistemas de jardinagem, com a fialidade de extensão ou ramifiação. Em conjunto com mangueiras de polietileno e a linha Amanco Jardim, formam um sistema capaz de alimentar pocilgas, tanques de piscicultura, aviários, estufas e outras estruturas rurais que não necessitem de alta pressão para sua alimentação.",http://assets.production.amanco.com.br.s3.amazonaws.com/uploads/image/file/2549/medium_UNIAO-INTERNA-CCB-90628-11860-11862-11857-11859-11858-11861-WEB.jpg,http://amanco.com.br/produtos/predial/areas-externas/jardim/uniao-interna-748c17b0-f9c0-4ed9-884a-6233b6eb174f
Adaptador Para Bico Fêmea,"CCB: 19034 | Embalagem: 10 | Outros: Fêmea/Fêmea | Bitola: ¾"" x ½"" NPT | CCB: 19035 | Embalagem: 10 | Outros: Fêmea/Fêmea | Bitola: 1"" x ½"" NPT | ",produtos|predial|protecao-contra-incendio|fire-blazemaster|adaptador-para-bico-f-f,"Tubos e conexões de CPVC,Cor alaranjada,Diâmetros: ¾"" (DN 20), 1"", 1 ¼"", 1 ½"", 2"", 2 ½"" e 3"" (DN 80),Fornecido em barras de 3 metros (ponta-ponta),Pressão de serviço de 1,2 MPa (120 m.c.a. ou 175 psi),Temperatura máxima de trabalho de 65 °C (150 °F),Certificação UL/FM","Sistema seguro com a qualidade Amanco,Fabricado com composto Blazemaster, referência internacional em composto para essa aplicação,Instalação simples e rápida, com juntas por adesivo plástico,Não requer mão de obra especializada para instalação,Material leve que facilita o manuseio e armazenagem,Manutenção prática e fácil.","A Amanco chega com mais uma inovação em seu portfólio. Complementando seu mix de produtos de hidráulica, a marca traz a solução de tubos e conexões para alimentação de água a redes de combate a incêndio, o Amanco Fire Blazemaster. Uma solução segura e prática para sistemas de proteção e combate a incêndio por chuveiros automáticos (sprinklers), com menor custo e maior facilidade de instalação que sistemas tradicionais.",http://assets.production.amanco.com.br.s3.amazonaws.com/uploads/image/file/3151/medium_ADAPTADOR-PARA-BICO-CCB-19034-19035-WEB.jpg,http://amanco.com.br/produtos/predial/protecao-contra-incendio/fire-blazemaster/adaptador-para-bico-f-f
União para Mangueira,CCB: 98643 | Embalagem: 10 | Bitola: ½ | ,produtos|predial|areas-externas|jardim|uniao-para-mangueira,"Bitola: ½,Pressão: 0,5 bar até 3,0 bar,Resistente à corrosão,Resistente aos raios UV,Encaixe por Engate Rápido (ER).","Praticidade para rega programada, promovendo economia de água,Versátil, possui produtos para as necessidades de irrigação domésticas,Fácil de montar,Design arredondado que evita danos ao jardim.","A Amanco leva a inovação para o mercado de jardinagem, e lança a linha para irrigação doméstica Amanco Jardim.São produtos utilizados no cuidado e manutenção de áreas verdes residenciais, jardins de condomínios, clubes, ginásios, tudo com a qualidade já reconhecida Amanco.",http://assets.production.amanco.com.br.s3.amazonaws.com/uploads/image/file/2332/medium_UNIAO-PARA-MANGUEIRA-CCB-98643-WEB.jpg,http://amanco.com.br/produtos/predial/areas-externas/jardim/uniao-para-mangueira
Temporizador de Programação,"CCB: 98633 | Embalagem: 2 | Bitola: ½"" e ¾"" | ",produtos|predial|areas-externas|jardim|temporizador-de-programacao-a79da0ac-b7d0-4ee8-8d03-38dc7a770095,"Bitola: ½"",Pressão: 0,5 bar até 3,0 bar,Resistente à corrosão,Resistente aos raios UV,Encaixe por Engate Rápido (ER).","Praticidade para rega programada, promovendo economia de água,Versátil, possui produtos para as necessidades de irrigação domésticas,Fácil de montar,Design arredondado que evita danos ao jardim.","A Amanco leva a inovação para o mercado de jardinagem, e lança a linha para irrigação doméstica Amanco Jardim.São produtos utilizados no cuidado e manutenção de áreas verdes residenciais, jardins de condomínios, clubes, ginásios, tudo com a qualidade já reconhecida Amanco.",http://assets.production.amanco.com.br.s3.amazonaws.com/uploads/image/file/2536/medium_TEMPORIZADOR-DE-PROGRAMACAO-CCB-98633-WEB.jpg,http://amanco.com.br/produtos/predial/areas-externas/jardim/temporizador-de-programacao-a79da0ac-b7d0-4ee8-8d03-38dc7a770095
Temporizador Manual,"CCB: 98607 | Embalagem: 4 | Bitola: ½"" e ¾"" | ",produtos|predial|areas-externas|jardim|temporizador-manual-6ec3974f-77c6-4246-a41e-515d47c868e7,"Bitola: ½,Pressão: 0,5 bar até 3,0 bar,Resistente à corrosão,Resistente aos raios UV,Encaixe por Engate Rápido (ER).","Praticidade para rega programada, promovendo economia de água,Versátil, possui produtos para as necessidades de irrigação domésticas,Fácil de montar,Design arredondado que evita danos ao jardim.","A Amanco leva a inovação para o mercado de jardinagem, e lança a linha para irrigação doméstica Amanco Jardim.São produtos utilizados no cuidado e manutenção de áreas verdes residenciais, jardins de condomínios, clubes, ginásios, tudo com a qualidade já reconhecida Amanco.",http://assets.production.amanco.com.br.s3.amazonaws.com/uploads/image/file/2535/medium_TEMPORIZADOR-MANUAL.jpg,http://amanco.com.br/produtos/predial/areas-externas/jardim/temporizador-manual-6ec3974f-77c6-4246-a41e-515d47c868e7
Torneira Plástica,"CCB: 95234 | Embalagem: 12 | Bitola: 1/2"" e 3/4"" | Outros: Preta | ",produtos|predial|areas-externas|jardim|torneira-plastica-cdeb0585-f9e9-4e55-beed-bc396453e52f,"Bitola: 1/2"" e 3/4"",Pressão: 0,5 bar até 3,0 bar,Resistente à corrosão,Resistente aos raios UV,Encaixe por Engate Rápido (ER).","Praticidade para rega programada, promovendo economia de água,Versátil, possui produtos para as necessidades de irrigação domésticas,Fácil de montar,Design arredondado que evita danos ao jardim.","A Amanco leva a inovação para o mercado de jardinagem, e lança a linha para irrigação doméstica Amanco Jardim.São produtos utilizados no cuidado e manutenção de áreas verdes residenciais, jardins de condomínios, clubes, ginásios, tudo com a qualidade já reconhecida Amanco.",http://assets.production.amanco.com.br.s3.amazonaws.com/uploads/image/file/2346/medium_Torneira-Plastica-Jardim-CCB-95234-WEB.png,http://amanco.com.br/produtos/predial/areas-externas/jardim/torneira-plastica-cdeb0585-f9e9-4e55-beed-bc396453e52f
Solução Preparadora,CCB: 90133 | Litros: 200 cm³ | Embalagem: 12 | Outros: Com tampa fliptop | CCB: 90132 | Litros: 1.000 cm³ | Embalagem: 6 | Outros: Com tampa fliptop | ,produtos|construtoras|agua-fria-e-quente|adesivos|solucao-limpadora-5ad6d73d-500b-4fa3-abee-0658652945dd,"Indicada para todas as aplicações soldáveis;,Disponível n franco com 200ml ou 1L.","Limpa e prepara para a aplicação;,Sem toluol.","A Amanco Solução Preparadora é uma solução de hidrocarbonetos alifáticos e cetonas, especialmente destinada para preparação das superfícies a serem soldadas, eliminando gorduras e outras impurezas. A tampa com bico especial controla a dosagem de despejo.",http://assets.production.amanco.com.br.s3.amazonaws.com/uploads/image/file/2900/medium_PACK-SOLUCAO-PREPARADORA-CCB-90132-90133-WEB.jpg,http://amanco.com.br/produtos/construtoras/agua-fria-e-quente/adesivos/solucao-limpadora-5ad6d73d-500b-4fa3-abee-0658652945dd
Tubo PE Ramal Predial,CCB: 13186 | Embalagem: 50 metros | Bitola: DN 20 | CCB: 13187 | Embalagem: 50 metros | Bitola: DN 32 | CCB: 13314 | Embalagem: 100 metros | Bitola: DN 20 | ,produtos|infraestrutura|ligacao-predial|ramalfort|tubo-amanco-ramalfort-azul,"Composto de polietileno (PE) 80 a 30° C,Comprimentos comerciais de 50 e 100 metros,Diâmetros de 20 e 32 mm,Pressão de serviço de 1 MPa,Cor: azul,Atendendo as Normas: NBR 15561 e NTS 048","Flexibilidade,Excelente Desempenho Hidráulico,Alta Durabilidade,Praticidade","Os tubos PE Ramal Predial são destinados à instalação de sistemas para ligação dos ramais prediais de água, trecho compreendido entre o ponto de derivação da rede de distribuição de água e o kit cavalete (ou unidade de medição e controle) de uma residência. Esses produtos são utilizados por empresas públicas e privadas responsáveis pela instalação e manutenção deste sistema. Podem também ser aplicadas em redes de ramais prediais de condomínios.",http://assets.production.amanco.com.br.s3.amazonaws.com/uploads/image/file/3361/medium_TUBO-RAMALFORT-AZUL-CCB-13186-13187-13314-HR.png,http://amanco.com.br/produtos/infraestrutura/ligacao-predial/ramalfort/tubo-amanco-ramalfort-azul
Tubo Amanco Ramalfort - Azul,CCB: 13186 | Embalagem: 50 metros | Bitola: DN 20 | CCB: 13187 | Embalagem: 50 metros | Bitola: DN 32 | CCB: 13314 | Embalagem: 100 metros | Bitola: DN 20 | ,produtos|construtoras|agua-fria-e-quente|ligacao-predial|tubo-amanco-ramalfort-azul-cb0947da-cdc4-461c-8f7c-db32ed3e5466,"Composto de polietileno (PE) 80 a 30° C,Comprimentos comerciais de 50 e 100 metros,Diâmetros de 20 e 32 mm,Pressão de serviço de 1 MPa,Cores azul e preto,Atendendo as Normas: NBR 8417 e NTS 048","Flexibilidade,Excelente Desempenho Hidráulico,Alta Durabilidade,Praticidade","Os tubos Amanco Ramalfort são destinados à instalação de sistemas para ligação dos ramais prediais de água, trecho compreendido entre o ponto de derivação da rede de distribuição de água e o kit cavalete (ou unidade de medição e controle) de uma residência.Esses produtos são utilizados por empresas públicas e privadas responsáveis pela instalação e manutenção deste sistema. Podem também ser aplicadas em redes de ramais prediais de condomínios.",http://assets.production.amanco.com.br.s3.amazonaws.com/uploads/image/file/2892/medium_TUBO-RAMALFORT-AZUL-CCB-13186-13187-13314-WEB.jpg,http://amanco.com.br/produtos/construtoras/agua-fria-e-quente/ligacao-predial/tubo-amanco-ramalfort-azul-cb0947da-cdc4-461c-8f7c-db32ed3e5466
Módulo de Distribuição Metálico Aberto,SCB: 98707 | Embalagem: 2 | Bitola: 1 x 16 | Outros: 2 saídas | SCB: 98708 | Embalagem: 2 | Bitola: 1 x 16 | Outros: 3 saídas | SCB: 98709 | Embalagem: 2 | Bitola: 1 x 20 | Outros: 2 saídas | SCB: 98710 | Embalagem: 2 | Bitola: 1 x 20 | Outros: 3 saídas | SCB: 98703 | Embalagem: 2 | Bitola: 3/4 x 16 | Outros: 2 saídas | SCB: 98704 | Embalagem: 2 | Bitola: 3/4 x 16 | Outros: 3 saídas | SCB: 98705 | Embalagem: 2 | Bitola: 3/4 x 20 | Outros: 2 saídas | SCB: 98706 | Embalagem: 2 | Bitola: 3/4 x 20 | Outros: 3 saídas | ,produtos|construtoras|agua-fria-e-quente|amanco-pex|modulo-de-distribuicao-metalico-aberto,"Tubos nos diâmetros de DN 16, 20, 25 e 32 mm,Bobinas de 50 m (para 25 e 32 mm) e 100 m (para 16 e 20 mm),Conexões com roscas NBR NM ISO 7-1","Tubulação maleável: Os tubos Amanco PEX permitem que sejam feitas curvas, diminuindo a quantidade de conexões,Facilidade de instalação, pois permite manuseio rápido e instalações ponto a ponto,Utilização de diâmetros menores, se comparado a sistemas convencionais de instalações hidráulicas (PPR, CPVC e PVC),Instalação que permite fácil manutenção e redução de entulho  já que não necessita de quebra de parede,Leveza que facilita tanto o transporte das bobinas assim como estocagem,Diminuição do desperdício durante instalação,Alta resistência química e à corrosão,Baixa perda calorífica,É compatível com vários métodos construtivos (drywall, alvenaria convencional e estrutural).","O Amanco PEX Monocamada atende instalações hidráulicas prediais de água quente e fria. O sistema utiliza bobinas de tubos em polietileno reticulado e conexões metálicas do tipo anel deslizantes (slide fi) com corpo constituído de latão, altamente resistente a ataques químicos.",http://assets.production.amanco.com.br.s3.amazonaws.com/uploads/image/file/2842/medium_MODULO-DE-DISTRIBUICAO-METALICO-ABERTO-SCB-98707-98708-98709-98710-98703-98704-98705-98706-WEB.jpg,http://amanco.com.br/produtos/construtoras/agua-fria-e-quente/amanco-pex/modulo-de-distribuicao-metalico-aberto
Joelho F Terminal Metálico,CCB: 98223 | Embalagem: 5 | Bitola: DN 15 x 1/2 | ,produtos|construtoras|agua-fria-e-quente|amanco-flextemp|joelho-f-terminal-metalico,"Tubos em polibutileno e conexões por Push-Fit que garantem praticidade e rapidez na instalação de sistemas de condução de água quente e fria,Manutenção fácil e sem perda de tubos e conexões,Diâmetros e metragens de bobina: DN 15 com bobina de 100 m, DN 22 e DN 28 com bobina de 50 m,Atende a uma pressão de serviço 80 m.c.a,Temperatura máxima de trabalho: 70° C.","Economia,Qualidade Comprovada,Flexibilidade dos Tubos,Durabilidade,Segurança das Juntas.","A linha Amanco Flextemp é um sistema de tubulação flexivel com tecnologia inovadora desenvolvida para instalações prediais de água quente e fria sob pressão. A linha pode ser utilizada em instalações comerciais e residencias, com sistema de engate rápido tipo Push fit (click), o que garante a produtividade da instalação.",http://assets.production.amanco.com.br.s3.amazonaws.com/uploads/image/file/2890/medium_JOELHO-F-TERMINAL-METALICO-LONGO-98223-WEB.jpg,http://amanco.com.br/produtos/construtoras/agua-fria-e-quente/amanco-flextemp/joelho-f-terminal-metalico
União Mista ,CCB: 20326 | Bitola: DN 22 x 3/4 | Embalagem: 10 | ,produtos|predial|agua-quente|amanco-cpvc|uniao-mista-super-cpvc,"Cor: Bege,Diâmetros nominais:15,22,28,35,42,54,73,89 e 114."," ,Desempenho Elevado:, Melhor comportamento contra golpes de aríete (sobre pressão) e impactos., ,Material atóxico:, Proporciona maior segurança para os usuários., ,Livre de corrosão: ,Tem alta resistência química, proporcionando durabilidade. Elimina o risco de trocas e vazamentos devido a oxidação., ,Sem incrustações: ,Por ter paredes internas extremamente lisas e não conduzir energia elétrica, proporciona que ao longo do tempo a instalação fique  sem incrustações e sem redução do diâmetro da tubulação., ,Mais Resistência: ,Suporta pressão de serviço de 8,6 Bar (86 mca) conduzindo agua a 82°C e de 30 Bar (300 mca) conduzindo agua a 20°C, ,Junta Simples:, A união de tubos e conexões é feito por junta soldável a frio com Adesivo Plástico CPVC.","Sistema composto de tubos e conexões fabricado com o composto FlowGuard®, que resulta em um produto final com resistência superior ao CPVC Convencional.,Indicado para instalações de água quente e fria sob pressão em edificações.",http://assets.production.amanco.com.br.s3.amazonaws.com/uploads/image/file/3350/medium_UNIAO_MISTA_SUPER_CPVC_CCB_20326-HR%2Bcopy.png,http://amanco.com.br/produtos/predial/agua-quente/amanco-cpvc/uniao-mista-super-cpvc
União Mista Flangeada,SCB: 15423 | CCB: 2 | Embalagem: DN 40 x 1 1/4 | Bitola: 15430 | SCB: 15424 | CCB: 2 | Embalagem: DN 50 x 1 1/2 | Bitola: 15425 | SCB: 1 | CCB: DN 63 x 2 | Embalagem: 15426 | Bitola: 1 | SCB: DN 75 x 2 1/2 | CCB: 15427 | Embalagem: 1 | Bitola: DN 90 x 3 | ,produtos|predial|agua-quente|amanco-ppr|uniao-mista-flangeada,"Sistema composto por tubos com comprimentos comerciais de 3 metros,Permitem a realização de instalações hidráulicas das mais variadas formas,Excelente resultado no tempo de aplicação. Junção por termofusão.","Suporta maiores temperaturas,Material atóxico,Livre de corrosão,Sem incrustações,Maior isolamento acústico,Resistência a impactos,Reciclável,Melhor custo-benefício,Maior produtividade,Não requer isolamento térmico,Garantia total das juntas,Limpeza da instalação,Otimização de projeto,Maior flxibilidade","Os tubos e conexões Amanco PPR são uma solução para condução de água quente e fria em instalações hidráulicas.São fabricados com um material inovador e de última geração, o Polipropileno Copolímero Random - tipo 3.",http://assets.production.amanco.com.br.s3.amazonaws.com/uploads/image/file/2798/medium_UNIAO-MISTA-FLANGEADA-15423-15424-WEB.jpg,http://amanco.com.br/produtos/predial/agua-quente/amanco-ppr/uniao-mista-flangeada
